epsilon_stat,delta,shots,decision_duration_s,controller_power_w,controller_multiplier,controller_energy_j_per_decision,controller_energy_j_per_token,engine_capacity_decisions_per_s,rate_tokens_per_s,engines_required,engines_per_plant,plants_required,controller_peak_w_all_engines,allocated_fixed_j_per_token,controller_plus_fixed_j_per_token,scope
0.2,0.05,185,0.018500000000000003,0.184,3701.0,12.598204000000003,0.3936938750000001,48.648648648648646,1000.0,1,8,1,0.184,5.0,5.393693875,controller contribution and optional assumed fixed plant allocation; other loads unquantified
0.1,0.05,738,0.0738,0.184,3701.0,50.2566192,1.57051935,12.195121951219512,1000.0,3,8,1,0.552,5.0,6.57051935,controller contribution and optional assumed fixed plant allocation; other loads unquantified
0.05,0.05,2952,0.2952,0.184,3701.0,201.0264768,6.2820774,3.048780487804878,1000.0,11,8,2,2.024,10.0,16.2820774,controller contribution and optional assumed fixed plant allocation; other loads unquantified
