epsilon_stat,delta,shots,decision_duration_s,controller_power_w,controller_multiplier,controller_energy_j_per_decision,controller_energy_j_per_token,engine_capacity_decisions_per_s,rate_tokens_per_s,engines_required,engines_per_plant,plants_required,controller_peak_w_all_engines,allocated_fixed_j_per_token,controller_plus_fixed_j_per_token,scope
0.1,0.05,738,0.0738,0.184,3701.0,50.2566192,1.57051935,12.195121951219512,10,1,8,1,0.184,500.0,501.57051935,controller contribution and optional assumed fixed plant allocation; other loads unquantified
0.1,0.05,738,0.0738,0.184,3701.0,50.2566192,1.57051935,12.195121951219512,100,1,8,1,0.184,50.0,51.57051935,controller contribution and optional assumed fixed plant allocation; other loads unquantified
0.1,0.05,738,0.0738,0.184,3701.0,50.2566192,1.57051935,12.195121951219512,1000,3,8,1,0.552,5.0,6.57051935,controller contribution and optional assumed fixed plant allocation; other loads unquantified
0.1,0.05,738,0.0738,0.184,3701.0,50.2566192,1.57051935,12.195121951219512,3000,8,8,1,1.472,1.6666666666666667,3.2371860166666666,controller contribution and optional assumed fixed plant allocation; other loads unquantified
0.1,0.05,738,0.0738,0.184,3701.0,50.2566192,1.57051935,12.195121951219512,3200,9,8,2,1.656,3.125,4.69551935,controller contribution and optional assumed fixed plant allocation; other loads unquantified
0.1,0.05,738,0.0738,0.184,3701.0,50.2566192,1.57051935,12.195121951219512,10000,26,8,4,4.784,2.0,3.57051935,controller contribution and optional assumed fixed plant allocation; other loads unquantified
